customer_id,first_name,last_name,email,phone_number,address,gender,loyalty_status
3677e937-2761-4877-8e9d-f382dc92fb64,Elizabeth,Schneider,ebraun@example.com,(402)351-9692x32147,"50215 David Stravenue
Gordonshire, WV 49312",Female,Silver
dbc22c57-f2e6-4d9a-9fb4-7bb1e660101f,Eric,Baker,qwilson@example.org,(620)807-3644,"32593 Moore Square
Smithfurt, CT 80563",Male,None
f58f53a6-3a38-4bec-8570-3df5adb2f7be,Stephanie,Baker,joseph00@example.org,4563335524,"994 Derrick Stream Suite 727
Danielborough, DC 06619",Female,Platinum
ecbb2253-7994-4e05-9852-4a319a3419fd,Stephanie,Gomez,brendaclark@example.net,(405)845-5494x57933,"280 Michael Creek Apt. 506
Brianside, WA 51382",Female,Gold
46601255-1ba0-4ee8-932e-57a75f1d548e,Julie,Johnson,shawn89@example.com,(345)826-4388,"3867 Nelson Brook
Thompsonview, VT 95459",Female,Bronze
53de2569-f0dc-420f-84bd-72c56ce8ae49,Melissa,Davis,jessica96@example.net,+1-844-699-1287x37015,"8736 Kelly Radial
Port Jamesland, PW 76987",Female,Silver
787799f5-6dd0-4a53-8777-d3cf54847c19,Bruce,Roberts,katherinethompson@example.net,5857549683,"932 Louis Garden
Port Traceyport, OK 69651",Male,Silver
fb5a2d11-36cd-463e-9a42-262667a1ba4e,Judith,Fleming,garyreyes@example.com,(456)612-6020,"714 Rivers Freeway Suite 675
North Monicaville, ND 90002",Female,None
c91500c5-36dd-4b96-9bc4-43c9e0b9e339,Sarah,Villanueva,jneal@example.com,001-959-751-1376x94849,"488 Danielle Lane Suite 269
East Sean, MA 02992",Male,None
46dc1f79-8e92-40d5-81d3-259f94022e65,Jon,Price,matthewsmith@example.org,242.881.2669x7287,"5360 Villarreal Plaza Suite 048
Carpenterhaven, NJ 24018",Male,Bronze
3d776251-c063-40a0-bf46-4bda06821876,Rachael,Dennis,elizabethferguson@example.com,(462)405-7022x61969,"0541 Bishop Hollow Apt. 027
Mcbrideview, UT 49662",Male,Platinum
b336bdb0-8fdd-43b3-810d-3dca60a06586,John,Hansen,cking@example.net,9356729876,"452 Kimberly Expressway Suite 558
Port Mark, WY 40622",Male,Bronze
6274d6a1-aec7-4e71-bd32-f9f034724070,Jasmine,Long,hillrobert@example.com,218.953.2998x1177,"352 Randolph Orchard Apt. 546
South Joann, MO 98533",Male,Bronze
abc36c1a-ea0a-404d-a605-fbae0f54861b,Kenneth,Mitchell,montgomerylisa@example.com,+1-885-460-1971,"PSC 4151, Box 0488
APO AA 75157",Male,None
9ed1b627-4fe4-47d3-95d6-aa5e7ef0defe,William,Moore,whitenorman@example.net,272.606.1573x358,"5516 Jones Turnpike Suite 299
New Nicolefurt, AR 64265",Female,Gold
6f0aebb8-5931-461b-a3fe-0aae75e69bc3,Maria,Gallegos,colemanmichelle@example.org,(546)397-5005,"9388 James Mission
Connorchester, PW 61422",Male,None
b74d55c9-1808-40d3-a9c1-d9577d45a6a6,Ian,Velasquez,dlucas@example.org,(826)240-2687x128,"0285 James Skyway Apt. 552
East Georgeton, SC 79289",Male,Gold
3c5bc33c-9fcc-4e6b-8ba8-eda9f512eec1,Michael,Robinson,ocobb@example.com,2742745143,"898 Joel Ville Apt. 569
East Mary, AK 67439",Male,None
1b316217-60ef-4731-9dce-6e7d677ccc8b,Cynthia,Sanchez,schmidtsheila@example.com,(847)745-6614x10057,"45363 Lawrence Lock Suite 274
New Caitlinshire, NM 29719",Male,Gold
791ec636-44f8-45a6-b190-9854ea9645a7,Kim,Johnson,bevans@example.com,985-726-9640x13715,"2033 Johnson Ranch Suite 926
Port Ashley, KY 58757",Female,Silver
1c224c3c-751a-4c34-8832-5eb654f9cd2d,Morgan,Williamson,xsmith@example.net,782.222.1466x450,"0535 Todd Circles
Watsonville, CT 38858",Female,Bronze
9f1d0610-ae08-4a6f-84f6-fdd462c65e1a,Peter,Carrillo,williamsjamie@example.org,+1-696-243-2381x4348,"USCGC Reed
FPO AP 02016",Female,Bronze
8ab1e454-5f02-4930-a6d5-ffbc0b424d73,Jacob,Norris,rbaker@example.net,814.756.5888,"013 John Flat
Reginatown, IA 70630",Female,Silver
7c77d096-97a9-458b-b9df-db9bc4054eca,Kristen,Turner,aporter@example.com,(697)308-6981x135,"PSC 8951, Box 1732
APO AP 38078",Male,Gold
cbfbb97d-749b-40a9-b63f-f55139bc4d93,Kimberly,Jackson,vwatson@example.org,4784889379,"98252 Christina Manor
Pattychester, AR 54080",Female,Gold
313a3304-3542-43ac-85ab-9d4469aa79bb,Stephen,Moses,david14@example.com,494-785-1196x885,"6904 Robert Track Apt. 723
Richardberg, ND 23001",Male,Bronze
323aba6d-dc2b-4cc5-8add-96048e55ae02,Matthew,Carrillo,deniseglass@example.net,(426)259-2086,"94055 Schultz Rapid
Lake Nicholas, CA 81613",Female,Gold
8ee1db3a-29d6-4329-b129-88faaf3d8479,Joy,Adams,davistracy@example.net,001-583-427-9078x611,"70558 Nicholas Ramp
North Elizabeth, CO 96246",Male,Gold
90d6f0ae-a11f-4d52-be6e-c376c28f2a90,Randy,Perez,caseycampbell@example.org,4002329600,"10647 Stephen Forks Suite 617
Riosmouth, NE 45267",Female,Gold
